County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022
SHELBY COUNTY,SHELBYVILLE ISD,48419,210903,67.56,117.76,783.0,66.58,123.79,770.0,64.36,119.41,775.0
HARRIS COUNTY,SHELDON ISD,48201,101924,556.14,1223.73,9401.0,637.89,1406.76,10206.0,629.22,1472.47,10570.0
SAN JACINTO COUNTY,SHEPHERD ISD,48407,204904,132.1,307.06,2041.0,132.83,302.82,1930.0,117.96,282.71,1913.0
GRAYSON COUNTY,SHERMAN ISD,48181,91906,557.2,1065.14,7405.0,561.08,1110.41,7503.0,574.34,1087.4,7719.0
LAVACA COUNTY,SHINER ISD,48285,143903,51.16,85.86,666.0,54.21,88.5,702.0,53.09,90.11,710.0
COMANCHE COUNTY,SIDNEY ISD,48093,47905,14.84,24.28,139.0,14.08,25.48,142.0,14.85,24.52,128.0
HUDSPETH COUNTY,SIERRA BLANCA ISD,48229,115902,13.0,26.5,113.0,11.45,22.15,129.0,11.67,23.52,118.0
HARDIN COUNTY,SILSBEE ISD,48199,100904,202.59,396.29,2968.0,197.51,398.04,2743.0,202.02,405.09,2718.0
BRISCOE COUNTY,SILVERTON ISD,48045,23902,19.33,36.08,191.0,20.44,37.6,188.0,19.99,35.41,187.0
BOWIE COUNTY,SIMMS ISD,48037,19909,46.11,82.29,517.0,45.0,80.84,483.0,49.01,86.34,473.0
SAN PATRICIO COUNTY,SINTON ISD,48409,205906,146.0,308.88,2139.0,144.0,319.7,2074.0,157.8,337.36,2034.0
COOKE COUNTY,SIVELLS BEND ISD,48097,49909,7.64,12.0,68.0,7.57,12.0,49.0,7.45,12.99,63.0
BEE COUNTY,SKIDMORE-TYNAN ISD,48025,13905,64.0,120.93,834.0,66.31,129.98,806.0,67.94,134.3,786.0
LUBBOCK COUNTY,SLATON ISD,48303,152903,105.65,248.44,1344.0,112.39,274.58,1326.0,115.84,278.13,1284.0
WISE COUNTY,SLIDELL ISD,48497,249908,20.8,39.03,271.0,25.46,47.1,344.0,30.77,53.15,383.0
ANDERSON COUNTY,SLOCUM ISD,48001,1909,40.25,67.55,406.0,35.8,66.79,366.0,39.0,68.84,361.0
BASTROP COUNTY,SMITHVILLE ISD,48021,11904,136.65,261.16,1802.0,133.64,260.53,1753.0,127.7,254.65,1788.0
