ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Number Operational Schools [Public School] 2021-22,Total Number of Public Schools [Public School] 2021-22,State Agency ID [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22,Full-Time Equivalent (FTE) Teachers [District] 2021-22,Total Staff [District] 2021-22
BLOOM ACADEMY CHARTER SCHOOL,TEXAS,4801466,1,1,TX-101875,193,11.74,27.22
BLOOMBURG ISD,Texas,4810440,1,1,TX-034909,241,24.54,50.24
BLOOMING GROVE ISD,Texas,4810470,3,3,TX-175902,903,74.94,147.46
BLOOMINGTON ISD,Texas,4810500,5,5,TX-235901,827,69.51,163.93
BLUE RIDGE ISD,Texas,4810590,3,4,TX-043917,961,69.91,130.25
BLUFF DALE ISD,Texas,4810620,1,1,TX-072904,228,20.52,37.77
BLUM ISD,Texas,4810650,1,2,TX-109913,344,32.32,61.41
BOB HOPE SCHOOL,Texas,4801410,4,4,TX-123807,2362,144.75,322.41
BOERNE ISD,Texas,4810710,13,13,TX-130901,10327,654.01,1218.08
BOLES ISD,Texas,4810740,3,3,TX-116916,529,47.75,98.22
BOLING ISD,Texas,4810780,3,3,TX-241901,1141,74.08,149.19
BONHAM ISD,Texas,4810800,5,5,TX-074903,1887,134.07,320.00
BOOKER ISD,Texas,4810830,2,2,TX-148901,357,37.88,70.21
BORDEN COUNTY ISD,Texas,4810860,1,2,TX-017901,245,23.29,51.45
BORGER ISD,Texas,4810890,6,6,TX-117901,2500,178.13,430.50
BOSQUEVILLE ISD,Texas,4810910,3,4,TX-161923,702,60.80,113.54
BOVINA ISD,Texas,4810950,3,3,TX-185901,458,44.38,91.63
BOWIE ISD,Texas,4810990,3,3,TX-169901,1689,128.24,263.77
BOYD ISD,Texas,4811010,4,4,TX-249902,1232,93.14,180.78
BOYS RANCH ISD,Texas,4811040,3,3,TX-180901,178,50.06,79.49
BRACKETT ISD,Texas,4811070,3,3,TX-136901,532,55.80,114.66
BRADY ISD,Texas,4811110,3,3,TX-160901,966,80.93,176.47
BRAZOS ISD,Texas,4844470,3,3,TX-008903,768,59.78,128.45
BRAZOS RIVER CHARTER SCHOOL,Texas,4800214,1,1,TX-213801,182,18.86,42.47
