ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Number Operational Schools [Public School] 2021-22,Total Number of Public Schools [Public School] 2021-22,State Agency ID [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22,Full-Time Equivalent (FTE) Teachers [District] 2021-22,Total Staff [District] 2021-22
EAST CHAMBERS ISD,Texas,4817880,4,4,TX-036903,1542,114.81,211.64
EAST FORT WORTH MONTESSORI ACADEMY,Texas,4800255,1,1,TX-220811,185,13.00,24.00
EAST TEXAS CHARTER SCHOOLS,Texas,4800109,1,1,TX-092801,141,12.95,14.67
EASTLAND ISD,Texas,4817960,3,4,TX-067903,1084,91.64,170.82
ECTOR COUNTY ISD,Texas,4818000,45,45,TX-068901,31810,1822.02,3795.55
ECTOR ISD,Texas,4818030,2,2,TX-074905,234,25.27,50.23
EDCOUCH-ELSA ISD,Texas,4818060,9,10,TX-108903,4140,303.72,744.52
EDEN CISD,Texas,4818070,3,4,TX-048901,222,20.35,41.39
EDGEWOOD ISD,Texas,4818120,4,4,TX-234903,1029,84.21,155.48
EDGEWOOD ISD,Texas,4818150,24,27,TX-015905,8393,528.22,1307.63
EDINBURG CISD,Texas,4818180,46,46,TX-108904,32078,2271.06,4746.74
EDNA ISD,Texas,4818210,4,6,TX-120901,1559,116.63,236.33
EDUCATION CENTER INTERNATIONAL ACADEMY,Texas,4800186,3,3,TX-057833,501,35.86,57.38
EHRHART SCHOOL,Texas,4800221,1,1,TX-123805,507,39.87,60.32
EL CAMPO ISD,Texas,4818280,5,5,TX-241903,3426,232.83,494.11
EL PASO ACADEMY,Texas,4800205,2,2,TX-071804,272,14.26,29.21
EL PASO ISD,Texas,4818300,80,91,TX-071902,50769,3511.69,7269.79
EL PASO LEADERSHIP ACADEMY,Texas,4801439,3,3,TX-071810,266,25.07,44.92
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,Texas,4801435,1,1,TX-015836,489,33.86,49.99
ELECTRA ISD,Texas,4818330,2,2,TX-243902,454,46.22,89.20
ELEVATE COLLEGIATE CHARTER SCHOOL,TEXAS,4801470,1,1,TX-101877,55,4.00,9.00
ELGIN ISD,Texas,4818360,8,8,TX-011902,4996,314.83,734.38
ELKHART ISD,Texas,4818390,5,5,TX-001903,1150,104.90,186.64
ELYSIAN FIELDS ISD,Texas,4818480,3,3,TX-102906,829,76.36,143.95
ENNIS ISD,Texas,4818540,10,12,TX-070903,6013,428.02,781.61
ERA ISD,Texas,4818600,1,1,TX-049906,495,38.61,64.01
ERATH EXCELS ACADEMY INC,Texas,4800159,2,2,TX-072802,94,11.47,19.41
ESSENCE PREPARATORY CHARTER SCHOOL,TEXAS,4801479,="0",1,TX-015844,†,†,†
ETOILE ACADEMY CHARTER SCHOOL,TEXAS,4801460,1,1,TX-101872,341,17.16,40.91
ETOILE ISD,Texas,4818660,1,1,TX-174910,94,11.68,31.67
EULA ISD,Texas,4818690,3,3,TX-030906,464,47.81,80.69
EUSTACE ISD,Texas,4818720,4,4,TX-107905,1650,127.84,285.72
EVADALE ISD,Texas,4818750,3,4,TX-121906,397,41.09,87.62
EVANT ISD,Texas,4818780,2,2,TX-050901,213,18.42,41.73
EVERMAN ISD,Texas,4818810,10,11,TX-220904,5463,402.38,843.08
EVOLUTION ACADEMY CHARTER SCHOOL,Texas,4800236,3,3,TX-057834,669,29.08,52.59
EXCEL ACADEMY,Texas,4800049,4,4,TX-101811,217,25.00,46.27
EXCELLENCE IN LEADERSHIP ACADEMY,Texas,4801433,1,1,TX-108809,301,22.00,48.00
EXCELSIOR ISD,Texas,4818840,1,1,TX-210906,68,9.91,22.49
EZZELL ISD,Texas,4818890,1,1,TX-143906,95,8.06,16.78
FABENS ISD,Texas,4818900,4,5,TX-071903,1991,152.27,335.87
FAIRFIELD ISD,Texas,4818940,4,4,TX-081902,1687,136.13,271.05
FALLS CITY ISD,Texas,4819020,2,3,TX-128904,431,34.55,65.58
FANNINDEL ISD,Texas,4819050,2,2,TX-060914,148,18.61,40.68
FARMERSVILLE ISD,Texas,4819080,4,5,TX-043904,2025,123.71,255.19
FARWELL ISD,Texas,4819110,3,3,TX-185902,588,60.21,111.85
FAYETTEVILLE ISD,Texas,4819140,1,1,TX-075906,279,26.48,45.32
FERRIS ISD,Texas,4819170,5,6,TX-070905,2630,208.21,465.41
FLATONIA ISD,Texas,4819280,3,3,TX-075901,630,51.86,96.37
FLORENCE ISD,Texas,4819320,4,7,TX-246902,1117,84.61,178.11
FLORESVILLE ISD,Texas,4819350,6,6,TX-247901,4016,245.14,514.98
FLOUR BLUFF ISD,Texas,4819380,7,7,TX-178914,5546,358.13,715.74
FLOYDADA COLLEGIATE ISD,Texas,4819440,5,5,TX-077901,687,62.83,135.61
FOLLETT ISD,Texas,4819500,1,1,TX-148902,176,19.84,32.47
FORESTBURG ISD,Texas,4819530,1,1,TX-169910,176,20.22,33.86
FORNEY ISD,Texas,4819560,17,19,TX-129902,14349,871.02,1667.63
FORSAN ISD,Texas,4819620,2,2,TX-114904,769,58.33,103.69
FORT BEND ISD,Texas,4819650,86,87,TX-079907,77545,5019.98,10476.36
FORT ELLIOTT CISD,Texas,4811400,1,1,TX-242906,159,18.02,39.04
FORT STOCKTON ISD,Texas,4820190,5,6,TX-186902,2248,167.42,366.02
FORT WORTH ACADEMY OF FINE ARTS,Texas,4800231,2,2,TX-220809,654,50.56,84.46
FORT WORTH ISD,Texas,4819700,140,143,TX-220905,74850,5069.52,10080.92
FRANKLIN ISD,Texas,4819740,3,3,TX-198903,1349,113.53,231.40
FRANKSTON ISD,Texas,4819770,3,3,TX-001904,808,74.48,146.71
FREDERICKSBURG ISD,Texas,4819840,6,6,TX-086901,3121,232.24,487.55
FREER ISD,Texas,4819820,3,3,TX-066903,760,59.63,129.00
FRENSHIP ISD,Texas,4819830,12,15,TX-152907,10877,696.00,1245.64
FRIENDSWOOD ISD,Texas,4819950,6,7,TX-084911,6180,390.75,772.23
FRIONA ISD,Texas,4819980,4,4,TX-185903,1080,103.39,220.23
FRISCO ISD,Texas,4820010,75,75,TX-043905,65825,4407.63,7712.20
FROST ISD,Texas,4820040,3,3,TX-175905,439,39.99,75.67
FRUITVALE ISD,Texas,4820070,3,3,TX-234909,428,36.83,88.39
FT DAVIS ISD,Texas,4820100,1,1,TX-122901,178,18.96,34.97
FT HANCOCK ISD,Texas,4820130,3,3,TX-115901,400,35.30,86.81
FT SAM HOUSTON ISD,Texas,4820160,2,2,TX-015914,1639,136.21,305.82
GAINESVILLE ISD,Texas,4820220,5,5,TX-049901,3145,197.56,384.68
GALENA PARK ISD,Texas,4820250,25,25,TX-101910,21431,1396.99,3216.96
GALVESTON ISD,Texas,4820280,13,13,TX-084902,6661,509.66,1067.61
GANADO ISD,Texas,4820310,3,3,TX-120902,738,61.29,111.19
GARLAND ISD,Texas,4820340,72,74,TX-057909,53674,3448.14,6987.13
GARNER ISD,Texas,4820370,1,1,TX-184911,245,21.15,45.33
GARRISON ISD,Texas,4820400,4,4,TX-174903,749,54.67,95.26
GARY ISD,Texas,4820460,1,1,TX-183904,487,42.13,76.20
GATESVILLE ISD,Texas,4820500,5,5,TX-050902,2697,199.48,421.88
GATEWAY CHARTER ACADEMY,Texas,4800184,2,2,TX-057831,654,38.04,71.64
GAUSE ISD,Texas,4820520,1,1,TX-166902,163,14.66,29.11
GEORGE GERVIN ACADEMY,Texas,4800014,2,2,TX-015802,776,46.92,105.42
GEORGE I SANCHEZ CHARTER,Texas,4800020,2,2,TX-101804,947,66.01,141.83
GEORGE WEST ISD,Texas,4820550,4,5,TX-149901,1036,81.25,177.75
GEORGETOWN ISD,Texas,4820600,21,21,TX-246904,12618,955.91,1833.86
GHOLSON ISD,Texas,4820610,1,2,TX-161925,232,21.02,40.03
GIDDINGS ISD,Texas,4820640,4,4,TX-144901,1939,148.02,246.16
GILMER ISD,Texas,4820700,4,4,TX-230902,2678,208.24,463.69
GLADEWATER ISD,Texas,4820760,4,4,TX-092901,1703,145.97,300.90
GLASSCOCK COUNTY ISD,Texas,4820790,2,2,TX-087901,293,33.67,69.40
GLEN ROSE ISD,Texas,4820850,4,4,TX-213901,1989,144.72,283.15
GODLEY ISD,Texas,4820960,7,7,TX-126911,2604,195.40,477.25
GOLD BURG ISD,Texas,4820970,1,1,TX-169906,144,15.92,30.03
GOLDEN RULE CHARTER SCHOOL,Texas,4800237,6,6,TX-057835,1557,116.95,239.32
GOLDTHWAITE ISD,Texas,4821000,3,3,TX-167901,533,58.47,126.44
GOLIAD ISD,Texas,4821030,4,4,TX-088902,1315,102.52,236.60
GONZALES ISD,Texas,4821060,5,5,TX-089901,2614,176.52,411.05
GOODRICH ISD,Texas,4821090,3,3,TX-187903,244,16.81,46.29
GOODWATER MONTESSORI SCHOOL,TEXAS,4801458,1,1,TX-246802,369,17.93,45.65
GOOSE CREEK CISD,Texas,4821150,31,33,TX-101911,23908,1617.38,3623.26
GORDON ISD,Texas,4821180,1,1,TX-182901,264,19.74,36.21
GORMAN ISD,Texas,4821270,3,3,TX-067904,265,33.16,80.99
GRADY ISD,Texas,4821300,1,1,TX-156905,249,22.49,43.78
GRAFORD ISD,Texas,4821330,1,1,TX-182902,321,30.01,53.91
GRAHAM ISD,Texas,4821360,4,4,TX-252901,2297,165.54,331.87
GRANBURY ISD,Texas,4821390,10,10,TX-111901,7732,535.54,1032.98
GRAND PRAIRIE ISD,Texas,4821420,39,39,TX-057910,27420,1871.89,3801.07
GRAND SALINE ISD,Texas,4821450,5,5,TX-234904,1175,85.48,185.96
GRANDFALLS-ROYALTY ISD,Texas,4821480,1,1,TX-238904,148,14.89,31.00
GRANDVIEW ISD,Texas,4821540,4,4,TX-126904,1374,106.99,175.98
GRANDVIEW-HOPKINS ISD,Texas,4821560,1,1,TX-090905,46,5.90,12.83
GRANGER ISD,Texas,4821590,1,3,TX-246905,506,40.33,79.53
GRAPE CREEK ISD,Texas,4821600,6,6,TX-226907,1133,93.98,175.37
GRAPELAND ISD,Texas,4821630,3,3,TX-113902,632,46.30,102.10
GRAPEVINE-COLLEYVILLE ISD,Texas,4821660,21,21,TX-220906,14013,991.70,1891.53
GREAT HEARTS TEXAS,Texas,4801441,11,12,TX-015835,8136,463.12,1184.23
GREENVILLE ISD,Texas,4821720,11,11,TX-116905,5325,397.81,798.73
GREENWOOD ISD,Texas,4821750,4,4,TX-165902,3089,209.77,385.66
GREGORY-PORTLAND ISD,Texas,4821780,6,6,TX-205902,4736,342.41,697.07
GROESBECK ISD,Texas,4821810,4,4,TX-147902,1546,117.79,268.16
GROOM ISD,Texas,4821840,1,1,TX-033901,143,18.58,33.70
GROVETON ISD,Texas,4821900,2,2,TX-228901,742,62.45,133.64
GRUVER ISD,Texas,4821930,3,3,TX-098901,422,46.20,86.43
GUNTER ISD,Texas,4821960,4,4,TX-091917,1115,98.99,242.71
GUSTINE ISD,Texas,4821990,1,1,TX-047903,145,18.42,37.97
GUTHRIE CSD,Texas,4822020,1,1,TX-135001,136,18.97,30.65
HALE CENTER ISD,Texas,4822050,3,4,TX-095903,599,53.16,107.51
HALLETTSVILLE ISD,Texas,4822120,3,4,TX-143901,1156,87.53,175.90
HALLSBURG ISD,Texas,4822140,1,2,TX-161924,162,11.83,22.66
HALLSVILLE ISD,Texas,4822170,9,9,TX-102904,19104,376.77,756.74
HAMILTON ISD,Texas,4822230,3,3,TX-097902,833,81.35,139.41
HAMLIN COLLEGIATE ISD,Texas,4822260,2,2,TX-127903,431,31.67,79.97
HAMSHIRE-FANNETT ISD,Texas,4822320,4,5,TX-123914,1954,144.46,247.58
HAPPY ISD,Texas,4822350,2,2,TX-219901,259,25.57,49.03
HARDIN ISD,Texas,4822380,3,3,TX-146904,1281,96.30,196.95
HARDIN-JEFFERSON ISD,Texas,4822410,5,6,TX-100905,2609,178.57,355.03
HARLANDALE ISD,Texas,4822470,28,29,TX-015904,12080,913.22,2157.20
HARLETON ISD,Texas,4822500,3,3,TX-102905,711,62.90,121.09
HARLINGEN CISD,Texas,4822530,30,32,TX-031903,17037,1199.06,2695.89
HARMONY ISD,Texas,4822560,4,4,TX-230905,1037,95.11,180.40
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,Texas,4800241,7,7,TX-227816,4225,323.49,509.67
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,Texas,4800274,9,10,TX-101858,5896,416.15,692.14
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,Texas,4800210,6,6,TX-101846,3584,253.58,418.98
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,Texas,4801405,6,6,TX-101862,4092,276.09,450.41
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,Texas,4800292,16,16,TX-161807,9892,698.84,1092.13
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,Texas,4800266,8,9,TX-015828,4466,358.02,577.40
HARMONY PUBLIC SCHOOLS - WEST TEXAS,Texas,4800272,6,6,TX-071806,4573,316.87,494.55
HARPER ISD,Texas,4822590,3,3,TX-086902,560,50.53,91.48
HARRIS COUNTY DEPT OF ED,Texas,4800261,="0",5,TX-101000,†,†,="0.00"
HARROLD ISD,Texas,4822620,1,1,TX-244901,105,12.92,23.65
HART ISD,Texas,4822650,1,1,TX-035902,211,18.30,40.51
HARTLEY ISD,Texas,4822680,1,1,TX-103902,232,19.01,42.60
HARTS BLUFF ISD,Texas,4822710,2,2,TX-225907,805,61.58,119.43
HASKELL CISD,Texas,4822740,3,3,TX-104901,537,59.46,106.62
HAWKINS ISD,Texas,4822770,2,2,TX-250902,747,67.42,126.18
HAWLEY ISD,Texas,4822800,3,3,TX-127904,768,79.78,135.37
HAYS CISD,Texas,4800010,25,26,TX-105906,21405,1446.40,2908.90
HEARNE ISD,Texas,4822830,3,3,TX-198905,741,68.93,174.66
HEDLEY ISD,Texas,4822850,1,1,TX-065902,124,17.00,29.97
HEMPHILL ISD,Texas,4822890,3,3,TX-202903,902,80.94,161.22
HEMPSTEAD ISD,Texas,4822920,4,4,TX-237902,1586,113.76,246.71
HENDERSON ISD,Texas,4822970,5,5,TX-201902,3414,221.02,521.63
HENRIETTA ISD,Texas,4822980,3,3,TX-039902,945,81.83,180.53
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,Texas,4801412,1,1,TX-015833,93,6.81,12.49
HEREFORD ISD,Texas,4823010,8,8,TX-059901,3967,277.04,557.86
HERITAGE ACADEMY,Texas,4800080,5,5,TX-015815,572,49.50,85.29
HERMLEIGH ISD,Texas,4823040,1,3,TX-208901,258,20.67,42.75
HICO ISD,Texas,4823070,2,2,TX-097903,604,56.75,97.39
HIDALGO ISD,Texas,4823100,7,8,TX-108905,2839,214.24,520.97
HIGH ISLAND ISD,Texas,4823160,1,1,TX-084903,158,18.10,35.20
HIGH POINT ACADEMY,TEXAS,4801450,3,3,TX-220819,1431,123.63,191.68
HIGHLAND ISD,Texas,4823190,1,1,TX-177905,226,23.01,45.58
HIGHLAND PARK ISD,Texas,4835560,3,3,TX-188903,826,64.86,124.20
HIGHLAND PARK ISD,Texas,4823250,8,10,TX-057911,6724,454.82,855.74
HILLSBORO ISD,Texas,4823280,5,5,TX-109904,1933,145.75,287.71
HITCHCOCK ISD,Texas,4823310,5,6,TX-084908,1717,110.28,297.84
HOLLAND ISD,Texas,4823370,3,5,TX-014905,657,61.43,133.61
HOLLIDAY ISD,Texas,4823400,3,3,TX-005902,1128,81.50,141.43
HONDO ISD,Texas,4823430,4,4,TX-163904,1771,140.23,281.97
HONEY GROVE ISD,Texas,4823460,3,3,TX-074907,640,49.03,97.40
HOOKS ISD,Texas,4823490,3,3,TX-019902,886,73.33,153.33
HORIZON MONTESSORI PUBLIC SCHOOLS,Texas,4800065,6,7,TX-108802,1392,90.77,213.74
HOUSTON CLASSICAL CHARTER SCHOOL,TEXAS,4801469,1,1,TX-101878,131,9.77,14.70
HOUSTON GATEWAY ACADEMY INC,Texas,4800118,3,3,TX-101828,2082,108.00,174.00
HOUSTON HEIGHTS HIGH SCHOOL,Texas,4800115,1,1,TX-101821,175,18.61,24.00
HOUSTON ISD,Texas,4823640,274,275,TX-101912,194607,10982.91,24265.16
HOWE ISD,Texas,4823670,4,4,TX-091905,1249,96.15,178.94
HUBBARD ISD,Texas,4823700,1,1,TX-019913,69,9.75,17.01
HUBBARD ISD,Texas,4823730,2,3,TX-109905,440,38.21,75.03
HUCKABAY ISD,Texas,4823760,1,2,TX-072908,305,24.43,43.29
HUDSON ISD,Texas,4823790,5,5,TX-003902,2802,212.53,428.59
HUFFMAN ISD,Texas,4823820,5,5,TX-101925,3569,228.36,490.50
HUGHES SPRINGS ISD,Texas,4823850,3,3,TX-034903,1146,110.18,209.01
HULL-DAISETTA ISD,Texas,4823880,3,3,TX-146905,433,40.47,95.81
HUMBLE ISD,Texas,4823910,49,52,TX-101913,48112,3200.11,6065.72
HUNT ISD,Texas,4823970,1,1,TX-133902,209,18.15,33.45
HUNTINGTON ISD,Texas,4824000,5,5,TX-003904,1615,123.83,250.39
HUNTSVILLE ISD,Texas,4824030,11,11,TX-236902,15292,409.14,895.09
HURST-EULESS-BEDFORD ISD,Texas,4824060,34,34,TX-220916,22874,1438.99,2698.84
HUTTO ISD,Texas,4824100,12,14,TX-246906,8960,622.72,1242.23
IDALOU ISD,Texas,4824120,3,5,TX-152910,1006,81.56,135.84
IDEA PUBLIC SCHOOLS,Texas,4800211,123,123,TX-108807,67988,3761.16,8564.75
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,Texas,4801429,1,1,TX-043801,1386,71.82,73.82
INDUSTRIAL ISD,Texas,4824150,4,4,TX-120905,1158,98.00,181.82
INGLESIDE ISD,Texas,4824180,5,5,TX-205903,2000,134.83,311.67
INGRAM ISD,Texas,4824210,3,3,TX-133904,1173,93.68,184.39
INSPIRE ACADEMIES,Texas,4800053,6,6,TX-015808,636,40.45,105.64
INSPIRED VISION ACADEMY,Texas,4800204,2,2,TX-057830,1271,75.81,199.69
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),Texas,4801440,37,41,TX-057848,20538,1374.81,2216.37
IOLA ISD,Texas,4824240,2,2,TX-093903,545,52.01,88.31
IOWA PARK CISD,Texas,4824260,4,5,TX-243903,1926,138.11,266.03
IRA ISD,Texas,4824300,1,1,TX-208903,276,21.28,37.47
IRAAN-SHEFFIELD ISD,Texas,4824330,3,3,TX-186903,323,29.16,67.24
IREDELL ISD,Texas,4824360,1,1,TX-018906,135,17.00,27.41
IRION COUNTY ISD,Texas,4830360,2,2,TX-118902,334,32.00,67.42
IRVING ISD,Texas,4824420,38,39,TX-057912,32378,2239.64,4320.93
ITALY ISD,Texas,4824450,2,3,TX-070907,647,55.68,126.34
ITASCA ISD,Texas,4824480,3,4,TX-109907,628,57.17,110.91
JACKSBORO ISD,Texas,4824530,3,3,TX-119902,1078,83.93,158.57
JACKSONVILLE ISD,Texas,4824590,8,8,TX-037904,4743,351.27,814.93
JARRELL ISD,Texas,4824600,5,7,TX-246907,2885,188.38,352.84
JASPER ISD,Texas,4824630,4,4,TX-121904,2174,160.61,365.83
JAYTON-GIRARD ISD,Texas,4824660,1,1,TX-132902,171,20.63,44.24
JEAN MASSIEU ACADEMY,Texas,4800098,1,1,TX-057819,202,13.16,21.83
JEFFERSON ISD,Texas,4824730,4,4,TX-155901,1163,107.99,235.09
JIM HOGG COUNTY ISD,Texas,4824750,3,3,TX-124901,1078,87.45,177.90
JIM NED CISD,Texas,4824780,4,5,TX-221911,1578,110.22,217.71
JOAQUIN ISD,Texas,4824810,3,3,TX-210902,682,54.30,110.85
JOHNSON CITY ISD,Texas,4824840,3,3,TX-016901,697,59.24,117.87
JONESBORO ISD,Texas,4824900,1,1,TX-050909,339,25.38,48.81
JOSHUA ISD,Texas,4824930,11,11,TX-126905,5880,410.74,799.25
JOURDANTON ISD,Texas,4824960,7,7,TX-007902,1570,116.54,230.33
JUBILEE ACADEMIES,Texas,4800179,13,13,TX-015822,5764,334.44,903.88
JUDSON ISD,Texas,4824990,32,33,TX-015916,24536,1647.92,3372.33
JUNCTION ISD,Texas,4825020,3,3,TX-134901,639,55.28,106.70
KARNACK ISD,Texas,4825110,1,1,TX-102901,134,12.92,36.90
KARNES CITY ISD,Texas,4825140,4,6,TX-128901,1053,86.61,214.40
KATHERINE ANNE PORTER SCHOOL,Texas,4800132,1,1,TX-105801,74,11.87,22.01
KATY ISD,Texas,4825170,74,78,TX-101914,88368,6080.62,11833.53
KAUFMAN ISD,Texas,4825200,7,7,TX-129903,4103,272.94,517.76
KEENE ISD,Texas,4825230,5,6,TX-126906,1021,94.27,160.54
KELLER ISD,Texas,4825260,42,42,TX-220907,34813,2461.91,4338.70
KELTON ISD,Texas,4825290,1,1,TX-242905,137,16.45,28.39
KEMP ISD,Texas,4825320,5,5,TX-129904,1692,135.60,275.42
KENEDY COUNTY WIDE CSD,Texas,4825410,1,1,TX-131001,101,10.90,25.48
KENEDY ISD,Texas,4825440,3,6,TX-128902,733,62.34,128.79
KENNARD ISD,Texas,4825470,1,1,TX-113906,247,22.07,48.61
KENNEDALE ISD,Texas,4825500,7,7,TX-220914,2840,200.61,382.97
KERENS ISD,Texas,4825530,1,1,TX-175907,552,53.38,111.50
KERMIT ISD,Texas,4825560,3,3,TX-248901,1271,88.49,207.31
KERRVILLE ISD,Texas,4825590,9,9,TX-133903,4814,316.97,655.21
KI CHARTER ACADEMY,TEXAS,4801447,3,3,TX-105803,281,40.40,76.23
KILGORE ISD,Texas,4825620,5,6,TX-092902,3887,271.63,559.13
KILLEEN ISD,Texas,4825660,54,55,TX-014906,43882,2628.76,6028.94
KINGSVILLE ISD,Texas,4825680,5,5,TX-137901,2805,205.44,457.49
KIPP TEXAS PUBLIC SCHOOLS,Texas,4800264,58,58,TX-227820,32321,1585.99,3795.70
KIRBYVILLE CISD,Texas,4825710,3,3,TX-121905,1452,107.82,222.04
KLEIN ISD,Texas,4825740,52,53,TX-101915,53294,3653.10,7195.45
KLONDIKE ISD,Texas,4825790,1,1,TX-058905,260,24.16,46.40
KNIPPA ISD,Texas,4825800,1,2,TX-232901,412,36.04,61.58
KNOX CITY-O'BRIEN CISD,Texas,4825870,1,1,TX-138902,228,27.51,60.38
KOPPERL ISD,Texas,4825890,1,1,TX-018907,179,17.54,33.85
KOUNTZE ISD,Texas,4825920,4,5,TX-100903,1127,88.57,201.24
KRESS ISD,Texas,4825950,2,2,TX-219905,271,28.22,58.14
KRUM ISD,Texas,4825980,6,6,TX-061905,2217,169.52,329.58
LA ACADEMIA DE ESTRELLAS,Texas,4800270,2,2,TX-057839,985,61.68,135.44
LA FE PREPARATORY SCHOOL,Texas,4800286,1,1,TX-071807,190,18.25,35.70
LA FERIA ISD,Texas,4826040,7,8,TX-031905,2911,208.89,501.45
LA GLORIA ISD,Texas,4826070,1,1,TX-125906,94,8.00,21.00
LA GRANGE ISD,Texas,4826100,3,3,TX-075902,1873,142.06,252.97
LA JOYA ISD,Texas,4826130,38,39,TX-108912,24163,1808.33,4067.78
LA PORTE ISD,Texas,4826190,14,14,TX-101916,6938,461.23,1066.72
LA PRYOR ISD,Texas,4826250,2,2,TX-254902,485,48.94,95.14
LA VEGA ISD,Texas,4826280,5,6,TX-161906,3091,205.57,483.73
LA VERNIA ISD,Texas,4826310,5,6,TX-247903,3363,219.47,433.68
LA VILLA ISD,Texas,4826340,3,3,TX-108914,560,48.44,101.80
LACKLAND ISD,Texas,4826370,2,3,TX-015913,911,89.84,191.28
LAGO VISTA ISD,Texas,4826400,4,5,TX-227912,1808,120.02,195.97
LAKE DALLAS ISD,Texas,4826430,5,6,TX-061912,4004,289.89,581.47
LAKE GRANBURY ACADEMY CHARTER SCHOOL,TEXAS,4801464,1,1,TX-111801,51,1.90,3.14
LAKE TRAVIS ISD,Texas,4826470,11,12,TX-227913,11345,673.28,1255.16
LAKE WORTH ISD,Texas,4826490,7,8,TX-220910,3634,257.96,594.66
LAMAR CISD,Texas,4826580,44,46,TX-079901,39579,2383.38,4645.24
LAMESA ISD,Texas,4826610,1,1,TX-058906,1610,125.67,308.11
LAMPASAS ISD,Texas,4826640,5,5,TX-141901,3423,251.48,564.26
LANCASTER ISD,Texas,4826670,10,11,TX-057913,7096,440.76,899.61
LANEVILLE ISD,Texas,4826700,1,1,TX-201903,156,16.64,34.53
LAPOYNOR ISD,Texas,4826220,3,3,TX-107910,491,43.64,75.72
LAREDO ISD,Texas,4826790,30,30,TX-240901,19757,1459.27,3671.52
LASARA ISD,Texas,4826850,2,2,TX-245901,327,31.48,73.97
LATEXO ISD,Texas,4826910,2,2,TX-113905,489,44.39,77.91
LAZBUDDIE ISD,Texas,4826970,1,1,TX-185904,164,18.73,37.98
LEADERSHIP PREP SCHOOL,Texas,4801420,2,2,TX-061804,1344,69.60,117.42
LEAKEY ISD,Texas,4827000,1,1,TX-193902,329,24.46,58.03
LEANDER ISD,Texas,4827030,46,53,TX-246913,41780,2970.31,5289.78
LEARN4LIFE-AUSTIN,TEXAS,4801478,="0",1,TX-227830,†,†,†
LEARY ISD,Texas,4827060,1,1,TX-019914,105,11.00,19.05
LEFORS ISD,Texas,4827090,1,1,TX-090902,177,19.65,35.74
LEGACY PREPARATORY,Texas,4801428,2,2,TX-057846,1464,111.40,182.46
LEGACY SCHOOL OF SPORT SCIENCES,TEXAS,4801459,1,1,TX-101874,370,29.46,45.50
LEGACY TRADITIONAL SCHOOLS - TEXAS,Texas,4800062,4,4,TX-015806,353,32.71,71.14
LEGGETT ISD,Texas,4827120,2,2,TX-187906,219,18.57,40.61
LEON ISD,Texas,4827180,2,2,TX-145911,717,58.35,117.63
LEONARD ISD,Texas,4827210,4,4,TX-074909,827,69.17,135.23
LEVELLAND ISD,Texas,4827240,6,6,TX-110902,2756,219.25,452.74
LEVERETTS CHAPEL ISD,Texas,4827270,3,3,TX-201904,245,25.49,44.96
LEWISVILLE ISD,Texas,4827300,64,66,TX-061902,49205,3752.34,6383.26
LEXINGTON ISD,Texas,4827330,3,3,TX-144902,1093,83.35,154.10
LIBERTY HILL ISD,Texas,4827420,11,13,TX-246908,6840,438.29,790.63
LIBERTY ISD,Texas,4827450,4,4,TX-146906,2248,137.77,371.48
LIBERTY-EYLAU ISD,Texas,4827390,4,4,TX-019908,2131,197.36,416.75
LIFE SCHOOL,Texas,4800055,8,8,TX-057807,5558,345.93,636.01
LIGHTHOUSE PUBLIC SCHOOLS,Texas,4800246,3,3,TX-015825,409,23.75,44.41
LINDALE ISD,Texas,4827510,6,6,TX-212903,4268,302.90,668.41
LINDEN-KILDARE CISD,Texas,4827540,3,3,TX-034905,638,66.01,129.03
LINDSAY ISD,Texas,4827570,2,2,TX-049907,490,41.57,66.08
LINGLEVILLE ISD,Texas,4827600,1,1,TX-072909,284,30.87,55.58
LIPAN ISD,Texas,4827630,2,2,TX-111902,448,38.94,62.50
LITTLE CYPRESS-MAURICEVILLE CISD,Texas,4827690,6,6,TX-181908,3233,243.34,510.72
LITTLE ELM ISD,Texas,4827720,9,11,TX-061914,8287,517.80,980.84
LITTLEFIELD ISD,Texas,4827750,4,4,TX-140904,1235,97.09,205.40
LIVINGSTON ISD,Texas,4827780,7,7,TX-187907,4023,247.31,511.81
LLANO ISD,Texas,4827810,4,4,TX-150901,1881,143.64,287.78
LOCKHART ISD,Texas,4827870,9,9,TX-028902,6128,405.85,770.62
LOCKNEY ISD,Texas,4827890,4,4,TX-077902,433,39.03,83.90
LOHN ISD,Texas,4827930,1,1,TX-160905,125,13.00,25.00
