,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
10916,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10917,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10918,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10919,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10920,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10921,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10922,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10923,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10924,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10925,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10926,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10927,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10928,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10929,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10930,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10931,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10932,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10933,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10934,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10935,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10936,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10937,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10938,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10939,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10940,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10941,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10942,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10943,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10944,NACOGDOCHES ISD,48347.0,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
10945,NATALIA ISD,48325.0,163903,76.85,165.64,1080.0,79.99,179.65,1024.0
10946,NAVARRO ISD,48187.0,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
10947,NAVARRO ISD,48187.0,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
10948,NAVARRO ISD,48187.0,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
10949,NAVARRO ISD,48187.0,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
10950,NAVARRO ISD,48187.0,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
10951,NAVARRO ISD,48187.0,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
10952,NAVARRO ISD,48187.0,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
10953,NAVARRO ISD,48187.0,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
10954,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10955,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10956,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10957,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10958,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10959,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10960,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10961,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10962,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10963,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10964,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10965,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10966,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10967,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10968,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10969,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10970,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10971,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10972,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10973,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10974,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10975,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10976,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10977,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10978,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10979,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10980,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10981,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10982,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10983,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10984,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10985,NAVASOTA ISD,48185.0,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
10986,NAZARETH ISD,48069.0,35903,21.55,32.24,253.0,19.7,35.99,250.0
10987,NECHES ISD,48001.0,1906,33.48,63.92,366.0,35.48,65.4,339.0
10988,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10989,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
