County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
HILL COUNTY,BYNUM ISD,48217,109902,17.37,37.1,207.0,21.5,40.5,195.0
HUNT COUNTY,CADDO MILLS ISD,48231,116901,135.57,245.91,1841.0,149.36,278.63,1992.0
NUECES COUNTY,CALALLEN ISD,48355,178903,289.4,595.31,4051.0,283.24,589.74,3956.0
BURLESON COUNTY,CALDWELL ISD,48051,26901,127.79,240.01,1762.0,135.43,279.93,1708.0
CALHOUN COUNTY,CALHOUN COUNTY ISD,48057,29901,263.89,543.76,3846.0,261.06,548.03,3681.0
COOKE COUNTY,CALLISBURG ISD,48097,49905,85.04,177.6,1152.0,83.29,146.03,1131.0
ROBERTSON COUNTY,CALVERT ISD,48395,198902,16.0,32.37,166.0,17.81,33.8,143.0
HARRIS COUNTY,CALVIN NELMS CHARTER SCHOOLS,48201,101837,19.27,27.9,322.0,17.24,26.33,300.0
MILAM COUNTY,CAMERON ISD,48331,166901,129.82,258.18,1783.0,121.73,249.94,1631.0
HUNT COUNTY,CAMPBELL ISD,48231,116910,28.41,53.93,304.0,27.9,58.65,287.0
HEMPHILL COUNTY,CANADIAN ISD,48211,106901,83.55,147.0,906.0,85.34,150.91,877.0
VAN ZANDT COUNTY,CANTON ISD,48467,234902,149.9,251.95,2176.0,154.62,255.71,2134.0
EL PASO COUNTY,CANUTILLO ISD,48141,71907,417.85,911.71,6246.0,419.87,924.15,6035.0
RANDALL COUNTY,CANYON ISD,48381,191901,626.2,1168.89,10166.0,639.55,1223.03,10324.0
RUSK COUNTY,CARLISLE ISD,48401,201913,54.84,105.28,618.0,59.54,118.54,612.0
DIMMIT COUNTY,CARRIZO SPRINGS CISD,48127,64903,148.04,351.52,2219.0,149.42,352.76,2066.0
TARRANT COUNTY,CARROLL ISD,48439,220919,538.91,1049.79,8366.0,578.39,1076.18,8324.0
DALLAS COUNTY,CARROLLTON-FARMERS BRANCH ISD,48113,57903,1710.69,3321.59,25598.0,1696.16,3357.62,24858.0
PANOLA COUNTY,CARTHAGE ISD,48365,183902,184.51,306.76,2708.0,185.98,322.83,2653.0
TARRANT COUNTY,CASTLEBERRY ISD,48439,220917,243.02,520.64,3783.0,234.0,518.65,3617.0
ANDERSON COUNTY,CAYUGA ISD,48001,1902,49.73,115.48,564.0,47.56,121.05,535.0
DALLAS COUNTY,CEDAR HILL ISD,48113,57904,470.31,918.54,7790.0,458.14,879.82,7253.0
TRAVIS COUNTY,CEDARS INTERNATIONAL ACADEMY,48453,227817,40.02,66.28,548.0,38.83,68.36,496.0
HUNT COUNTY,CELESTE ISD,48231,116902,46.45,83.97,507.0,46.18,90.06,494.0
COLLIN COUNTY,CELINA ISD,48085,43903,176.11,351.57,2722.0,198.12,399.63,2962.0
SHELBY COUNTY,CENTER ISD,48419,210901,203.97,377.95,2629.0,204.12,398.51,2477.0
KERR COUNTY,CENTER POINT ISD,48265,133901,40.62,89.23,569.0,43.51,98.5,534.0
LEON COUNTY,CENTERVILLE ISD,48289,145902,58.15,108.29,656.0,62.21,116.62,646.0
NACOGDOCHES COUNTY,CENTRAL HEIGHTS ISD,48347,174908,84.12,142.34,1181.0,92.93,191.48,1131.0
ANGELINA COUNTY,CENTRAL ISD,48005,3907,115.96,230.44,1465.0,117.41,244.78,1445.0
HARRIS COUNTY,CHANNELVIEW ISD,48201,101905,547.05,1251.42,9593.0,572.53,1332.98,9572.0
HARTLEY COUNTY,CHANNING ISD,48205,103901,19.36,32.53,182.0,18.0,31.64,168.0
TRAVIS COUNTY,CHAPARRAL STAR ACADEMY,48453,227814,27.02,30.99,388.0,26.82,32.0,370.0
TARRANT COUNTY,CHAPEL HILL ACADEMY,48439,220815,41.14,63.16,647.0,53.71,82.78,763.0
SMITH COUNTY,CHAPEL HILL ISD,48423,212909,248.61,516.39,3536.0,254.69,539.31,3416.0
ATASCOSA COUNTY,CHARLOTTE ISD,48013,7901,45.5,89.0,471.0,46.49,90.36,419.0
SAN SABA COUNTY,CHEROKEE ISD,48411,206903,18.11,29.01,114.0,17.76,28.61,131.0
TYLER COUNTY,CHESTER ISD,48457,229906,18.11,33.57,195.0,22.07,39.14,211.0
WISE COUNTY,CHICO ISD,48497,249904,51.59,90.54,603.0,51.49,92.02,588.0
CHILDRESS COUNTY,CHILDRESS ISD,48075,38901,91.02,178.57,1096.0,90.36,179.87,997.0
HARDEMAN COUNTY,CHILLICOTHE ISD,48197,99902,19.69,41.77,200.0,21.17,43.08,207.0
FALLS COUNTY,CHILTON ISD,48145,73901,37.97,81.95,528.0,38.2,84.61,529.0
MARION COUNTY,CHINA SPRING ISD,48309,161920,195.19,358.95,2809.0,208.98,392.88,2870.0
NACOGDOCHES COUNTY,CHIRENO ISD,48347,174901,29.0,49.0,396.0,33.98,55.99,394.0
LAMAR COUNTY,CHISUM ISD,48277,139905,78.28,138.26,944.0,91.21,159.8,1062.0
TOM GREEN COUNTY,CHRISTOVAL ISD,48451,226901,45.44,79.23,550.0,47.21,75.29,566.0
EASTLAND COUNTY,CISCO ISD,48133,67902,84.34,155.57,866.0,84.63,160.2,839.0
WICHITA COUNTY,CITY VIEW ISD,48485,243906,83.65,166.51,1064.0,86.32,185.35,1023.0
DALLAS COUNTY,CITYSCAPE SCHOOLS,48113,57841,35.12,86.41,878.0,51.0,133.41,1204.0
DONLEY COUNTY,CLARENDON ISD,48129,65901,44.77,86.41,462.0,47.84,88.5,441.0
RED RIVER COUNTY,CLARKSVILLE ISD,48387,194904,37.32,101.8,534.0,38.24,103.99,481.0
ARMSTRONG COUNTY,CLAUDE ISD,48011,6902,35.22,58.16,359.0,30.18,51.58,316.0
GALVESTON COUNTY,CLEAR CREEK ISD,48167,84910,2531.87,5150.26,42205.0,2543.03,5357.37,40737.0
JOHNSON COUNTY,CLEBURNE ISD,48251,126903,472.27,937.44,6684.0,486.73,991.46,6859.0
LIBERTY COUNTY,CLEVELAND ISD,48291,146901,421.68,778.51,6584.0,555.92,1110.31,8888.0
BOSQUE COUNTY,CLIFTON ISD,48035,18901,80.0,153.29,1002.0,77.59,160.6,961.0
EL PASO COUNTY,CLINT ISD,48141,71901,654.46,1448.35,11388.0,689.82,1531.29,10663.0
CALLAHAN COUNTY,CLYDE CISD,48059,30902,110.77,217.37,1455.0,108.48,223.4,1397.0
HOWARD COUNTY,COAHOMA ISD,48227,114902,79.41,171.82,1111.0,79.0,170.98,1095.0
