County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
KENEDY COUNTY,KENEDY COUNTY WIDE CSD,48261,131001,10.99,24.84,64.0,10.99,25.78,89.0
KARNES COUNTY,KENEDY ISD,48255,128902,60.63,135.66,735.0,60.99,128.97,725.0
HOUSTON COUNTY,KENNARD ISD,48225,113906,24.32,52.99,256.0,22.69,47.45,223.0
TARRANT COUNTY,KENNEDALE ISD,48439,220914,202.03,388.15,3074.0,207.27,395.81,2885.0
NAVARRO COUNTY,KERENS ISD,48349,175907,48.08,94.02,585.0,48.62,104.67,570.0
WINKLER COUNTY,KERMIT ISD,48495,248901,82.62,193.4,1478.0,94.25,217.37,1275.0
KERR COUNTY,KERRVILLE ISD,48265,133903,327.5,648.77,4957.0,313.06,652.21,4781.0
HAYS COUNTY,KI CHARTER ACADEMY,48209,105803,21.02,44.08,176.0,34.05,73.08,276.0
GREGG COUNTY,KILGORE ISD,48183,92902,280.48,554.4,4086.0,265.82,543.24,3948.0
BELL COUNTY,KILLEEN ISD,48027,14906,2942.67,6332.07,44974.0,2783.97,6174.34,43838.0
KLEBERG COUNTY,KINGSVILLE ISD,48273,137901,206.76,448.32,3316.0,210.7,482.15,2861.0
HARRIS COUNTY,KIPP TEXAS PUBLIC SCHOOLS,48201,227820,1361.98,2947.56,27048.0,1612.94,3379.01,31200.0
JASPER COUNTY,KIRBYVILLE CISD,48241,121905,104.67,211.31,1508.0,108.0,214.02,1401.0
HARRIS COUNTY,KLEIN ISD,48201,101915,3518.66,7046.82,53328.0,3617.09,7303.63,52824.0
DAWSON COUNTY,KLONDIKE ISD,48115,58905,23.89,43.75,261.0,23.56,44.87,264.0
UVALDE COUNTY,KNIPPA ISD,48463,232901,36.26,58.11,460.0,31.62,56.65,456.0
KNOX COUNTY,KNOX CITY-O'BRIEN CISD,48275,138902,29.55,66.54,269.0,29.34,61.39,239.0
BOSQUE COUNTY,KOPPERL ISD,48035,18907,17.68,36.97,201.0,18.27,36.34,184.0
HARDIN COUNTY,KOUNTZE ISD,48199,100903,95.37,190.24,1136.0,87.55,186.15,1086.0
SWISHER COUNTY,KRESS ISD,48437,219905,22.58,46.93,256.0,25.3,53.79,277.0
DENTON COUNTY,KRUM ISD,48121,61905,157.85,297.31,2049.0,162.04,316.81,2101.0
DALLAS COUNTY,LA ACADEMIA DE ESTRELLAS,48113,57839,61.44,138.62,1096.0,60.95,136.14,1017.0
EL PASO COUNTY,LA FE PREPARATORY SCHOOL,48141,71807,21.0,40.07,235.0,18.0,33.0,180.0
CAMERON COUNTY,LA FERIA ISD,48061,31905,220.71,519.47,3320.0,214.72,482.73,3094.0
JIM WELLS COUNTY,LA GLORIA ISD,48249,125906,7.5,15.5,123.0,7.51,16.51,106.0
FAYETTE COUNTY,LA GRANGE ISD,48149,75902,141.82,238.31,1915.0,141.1,244.51,1876.0
HIDALGO COUNTY,LA JOYA ISD,48215,108912,1885.3,4222.33,28024.0,1886.46,4175.63,26638.0
HARRIS COUNTY,LA PORTE ISD,48201,101916,488.8,1058.93,7384.0,482.92,1068.95,6999.0
ZAVALA COUNTY,LA PRYOR ISD,48507,254902,41.97,83.46,503.0,46.17,89.02,527.0
MARION COUNTY,LA VEGA ISD,48309,161906,209.66,460.07,3140.0,213.98,477.57,3069.0
WILSON COUNTY,LA VERNIA ISD,48493,247903,219.02,438.54,3402.0,212.79,445.0,3223.0
HIDALGO COUNTY,LA VILLA ISD,48215,108914,45.42,100.83,555.0,44.26,93.7,597.0
BEXAR COUNTY,LACKLAND ISD,48029,15913,82.45,184.56,1076.0,88.49,186.33,890.0
TRAVIS COUNTY,LAGO VISTA ISD,48453,227912,93.39,158.76,1530.0,106.13,182.06,1625.0
DENTON COUNTY,LAKE DALLAS ISD,48121,61912,284.17,576.27,4031.0,291.61,582.31,3871.0
HOOD COUNTY,LAKE GRANBURY ACADEMY CHARTER SCHOOL,48221,111801,4.81,11.54,77.0,4.87,7.01,71.0
TRAVIS COUNTY,LAKE TRAVIS ISD,48453,227913,602.56,1118.33,10738.0,669.87,1231.7,11001.0
TARRANT COUNTY,LAKE WORTH ISD,48439,220910,240.39,508.93,3371.0,254.93,540.32,3311.0
FORT BEND COUNTY,LAMAR CISD,48157,79901,2075.88,4010.33,33444.0,2299.32,4427.93,36519.0
DAWSON COUNTY,LAMESA ISD,48115,58906,121.71,306.6,1886.0,116.74,300.76,1729.0
LAMPASAS COUNTY,LAMPASAS ISD,48281,141901,227.85,509.43,3358.0,246.5,546.46,3416.0
DALLAS COUNTY,LANCASTER ISD,48113,57913,433.98,915.82,7348.0,435.12,876.34,7176.0
RUSK COUNTY,LANEVILLE ISD,48401,201903,16.81,35.71,164.0,18.03,36.07,163.0
HENDERSON COUNTY,LAPOYNOR ISD,48213,107910,35.12,65.63,470.0,38.81,76.23,474.0
WEBB COUNTY,LAREDO ISD,48479,240901,1445.25,3691.06,23645.0,1489.18,3692.4,22041.0
WILLACY COUNTY,LASARA ISD,48489,245901,31.99,76.66,368.0,28.06,68.83,313.0
HOUSTON COUNTY,LATEXO ISD,48225,113905,34.94,64.57,446.0,43.54,73.34,464.0
PARMER COUNTY,LAZBUDDIE ISD,48369,185904,17.64,34.77,168.0,18.53,36.81,182.0
DENTON COUNTY,LEADERSHIP PREP SCHOOL,48121,61804,69.66,100.21,1242.0,69.99,109.28,1347.0
REAL COUNTY,LEAKEY ISD,48385,193902,27.15,53.86,290.0,26.45,53.55,286.0
WILLIAMSON COUNTY,LEANDER ISD,48491,246913,2689.95,4947.4,40031.0,2918.41,5262.49,40355.0
BOWIE COUNTY,LEARY ISD,48037,19914,12.0,19.85,119.0,10.98,18.95,103.0
GRAY COUNTY,LEFORS ISD,48179,90902,14.96,29.51,163.0,18.86,33.07,169.0
DALLAS COUNTY,LEGACY PREPARATORY,48113,57846,85.08,146.85,1390.0,103.8,174.84,1513.0
POLK COUNTY,LEGGETT ISD,48373,187906,16.99,30.49,167.0,16.0,33.95,204.0
LEON COUNTY,LEON ISD,48289,145911,62.39,117.75,746.0,60.14,115.78,735.0
FANNIN COUNTY,LEONARD ISD,48147,74909,65.17,124.52,878.0,64.37,131.79,831.0
HOCKLEY COUNTY,LEVELLAND ISD,48219,110902,219.3,439.34,2917.0,222.93,445.42,2799.0
RUSK COUNTY,LEVERETTS CHAPEL ISD,48401,201904,25.37,46.28,252.0,25.99,46.67,237.0
DENTON COUNTY,LEWISVILLE ISD,48121,61902,3667.04,6398.02,52218.0,3691.7,6363.81,49361.0
LEE COUNTY,LEXINGTON ISD,48287,144902,83.45,156.29,1026.0,81.76,149.39,1059.0
WILLIAMSON COUNTY,LIBERTY HILL ISD,48491,246908,294.53,588.55,4390.0,369.36,694.71,5539.0
LIBERTY COUNTY,LIBERTY ISD,48291,146906,137.1,382.64,2227.0,147.31,384.69,2227.0
BOWIE COUNTY,LIBERTY-EYLAU ISD,48037,19908,186.94,376.27,2465.0,199.96,411.1,2282.0
ELLIS COUNTY,LIFE SCHOOL,48139,57807,347.38,614.28,5704.0,342.04,640.0,5547.0
BEXAR COUNTY,LIGHTHOUSE PUBLIC SCHOOLS,48029,15825,20.69,38.67,332.0,18.99,36.96,323.0
SMITH COUNTY,LINDALE ISD,48423,212903,283.57,605.03,4115.0,293.3,650.69,4148.0
CASS COUNTY,LINDEN-KILDARE CISD,48067,34905,63.0,118.22,689.0,66.67,130.99,626.0
COOKE COUNTY,LINDSAY ISD,48097,49907,39.8,65.24,522.0,42.33,67.03,489.0
ERATH COUNTY,LINGLEVILLE ISD,48143,72909,27.05,47.56,279.0,27.0,51.09,278.0
HOOD COUNTY,LIPAN ISD,48221,111902,35.26,56.32,436.0,38.71,66.87,413.0
ORANGE COUNTY,LITTLE CYPRESS-MAURICEVILLE CISD,48361,181908,229.39,491.25,3170.0,234.33,488.36,3194.0
DENTON COUNTY,LITTLE ELM ISD,48121,61914,469.93,868.28,7769.0,489.6,919.82,8108.0
LAMB COUNTY,LITTLEFIELD ISD,48279,140904,95.65,198.6,1355.0,95.81,199.69,1268.0
POLK COUNTY,LIVINGSTON ISD,48373,187907,271.21,532.17,3963.0,270.54,517.34,3804.0
LLANO COUNTY,LLANO ISD,48299,150901,135.17,284.01,1780.0,138.95,286.42,1731.0
CALDWELL COUNTY,LOCKHART ISD,48055,28902,372.01,669.16,6118.0,385.23,730.2,6043.0
FLOYD COUNTY,LOCKNEY ISD,48153,77902,45.29,92.2,450.0,41.63,90.42,456.0
MADISON COUNTY,LOHN ISD,48307,160905,12.95,23.88,75.0,13.95,27.47,102.0
LAMPASAS COUNTY,LOMETA ISD,48281,141902,25.08,53.03,289.0,27.86,57.45,316.0
NUECES COUNTY,LONDON ISD,48355,178906,69.66,124.67,1107.0,84.24,149.92,1280.0
HUNT COUNTY,LONE OAK ISD,48231,116906,86.63,167.88,1006.0,77.52,155.64,967.0
COLLIN COUNTY,LONE STAR LANGUAGE ACADEMY,48085,43802,15.75,23.75,171.0,15.86,19.85,206.0
GREGG COUNTY,LONGVIEW ISD,48183,92903,588.93,1171.5,8621.0,608.6,1232.68,8254.0
GAINES COUNTY,LOOP ISD,48165,83902,16.69,32.16,137.0,17.25,32.49,146.0
MITCHELL COUNTY,LORAINE ISD,48335,168902,17.54,35.81,158.0,18.18,36.61,143.0
MARION COUNTY,LORENA ISD,48309,161907,121.6,243.06,1728.0,124.95,248.13,1741.0
CROSBY COUNTY,LORENZO ISD,48107,54902,29.56,75.6,271.0,24.49,73.47,229.0
CAMERON COUNTY,LOS FRESNOS CISD,48061,31906,668.27,1544.23,10739.0,665.91,1546.28,10529.0
WHARTON COUNTY,LOUISE ISD,48481,241906,41.99,78.78,510.0,42.38,79.74,493.0
COLLIN COUNTY,LOVEJOY ISD,48085,43919,292.09,586.01,4272.0,285.58,590.94,4206.0
HOUSTON COUNTY,LOVELADY ISD,48225,113903,49.83,89.34,534.0,49.41,86.24,512.0
LUBBOCK COUNTY,LUBBOCK ISD,48303,152901,1969.7,3393.64,27759.0,2003.97,3475.34,26451.0
LUBBOCK COUNTY,LUBBOCK-COOPER ISD,48303,152906,501.07,907.62,6571.0,547.78,975.92,7115.0
JONES COUNTY,LUEDERS-AVOCA ISD,48253,127905,15.97,28.39,107.0,17.21,30.38,107.0
ANGELINA COUNTY,LUFKIN ISD,48005,3903,582.08,1278.68,7861.0,592.97,1320.52,7432.0
CALDWELL COUNTY,LULING ISD,48055,28903,95.94,183.92,1403.0,95.49,187.23,1418.0
HARDIN COUNTY,LUMBERTON ISD,48199,100907,259.07,495.33,4037.0,275.87,516.03,4144.0
DALLAS COUNTY,LUMIN EDUCATION,48113,57805,18.47,49.84,296.0,18.38,51.76,256.0
WILLACY COUNTY,LYFORD CISD,48489,245902,108.52,270.98,1474.0,100.22,260.76,1449.0
ATASCOSA COUNTY,LYTLE ISD,48013,7904,114.47,268.19,1726.0,135.05,305.44,1760.0
KAUFMAN COUNTY,MABANK ISD,48257,129905,248.73,512.11,3566.0,252.97,529.2,3544.0
MASON COUNTY,MADISONVILLE CISD,48313,154901,168.38,304.64,2399.0,171.22,310.35,2294.0
MONTGOMERY COUNTY,MAGNOLIA ISD,48339,170906,819.16,1499.98,13264.0,870.52,1711.62,13122.0
HENDERSON COUNTY,MALAKOFF ISD,48213,107906,104.01,224.04,1388.0,111.61,240.08,1361.0
HILL COUNTY,MALONE ISD,48217,109908,12.74,34.6,178.0,13.57,31.68,165.0
BOWIE COUNTY,MALTA ISD,48037,19910,15.82,23.91,229.0,16.91,26.2,219.0
DALLAS COUNTY,MANARA ACADEMY,48113,57844,61.95,95.06,892.0,50.51,64.75,659.0
TRAVIS COUNTY,MANOR ISD,48453,227907,626.27,1365.6,9463.0,638.77,1331.38,9238.0
TARRANT COUNTY,MANSFIELD ISD,48439,220908,2263.04,4327.2,35293.0,2273.9,4364.0,35127.0
BREWSTER COUNTY,MARATHON ISD,48043,22902,9.85,15.95,55.0,12.0,18.91,60.0
BURNET COUNTY,MARBLE FALLS ISD,48053,27904,315.75,671.8,4270.0,314.95,678.62,4099.0
PRESIDIO COUNTY,MARFA ISD,48377,189901,32.58,59.41,340.0,29.98,60.63,294.0
GUADALUPE COUNTY,MARION ISD,48187,94904,104.24,198.52,1486.0,116.37,201.2,1483.0
FALLS COUNTY,MARLIN ISD,48145,73903,74.08,186.43,880.0,67.71,191.3,881.0
HARRISON COUNTY,MARSHALL ISD,48203,102902,353.46,726.74,5341.0,359.05,764.09,5064.0
MARION COUNTY,MART ISD,48309,161908,43.06,78.13,516.0,42.72,78.8,541.0
VAN ZANDT COUNTY,MARTINS MILL ISD,48467,234905,43.29,78.63,524.0,43.57,78.88,457.0
NACOGDOCHES COUNTY,MARTINSVILLE ISD,48347,174909,33.07,54.77,409.0,32.91,58.18,341.0
MCCULLOCH COUNTY,MASON ISD,48319,157901,71.32,115.97,715.0,70.87,121.57,716.0
MCLENNAN COUNTY,MATAGORDA ISD,48321,158904,11.0,24.0,133.0,11.0,22.01,106.0
SAN PATRICIO COUNTY,MATHIS ISD,48409,205904,116.5,267.82,1627.0,106.79,252.15,1504.0
BOWIE COUNTY,MAUD ISD,48037,19903,37.9,72.2,468.0,38.75,75.86,478.0
BROWN COUNTY,MAY ISD,48049,25905,24.92,43.08,266.0,27.01,48.86,253.0
ELLIS COUNTY,MAYPEARL ISD,48139,70915,76.99,165.18,1184.0,79.52,166.77,1161.0
HIDALGO COUNTY,MCALLEN ISD,48215,108906,1564.11,3265.27,22875.0,1547.44,3334.68,21602.0
UPTON COUNTY,MCCAMEY ISD,48461,231901,42.11,95.67,570.0,44.37,102.8,494.0
BASTROP COUNTY,MCDADE ISD,48021,11905,37.37,63.51,382.0,32.73,66.31,334.0
MARION COUNTY,MCGREGOR ISD,48309,161909,120.09,252.3,1426.0,110.83,247.24,1478.0
COLLIN COUNTY,MCKINNEY ISD,48085,43907,1656.31,2793.1,24717.0,1642.76,2762.98,23398.0
GRAY COUNTY,MCLEAN ISD,48179,90903,20.42,36.94,236.0,20.5,39.34,201.0
CASS COUNTY,MCLEOD ISD,48067,34906,31.5,64.86,388.0,35.89,65.25,396.0
MARTIN COUNTY,MCMULLEN COUNTY ISD,48311,162904,25.67,50.78,289.0,25.53,51.54,267.0
TERRY COUNTY,MEADOW ISD,48445,223902,28.31,49.23,289.0,31.65,51.11,265.0
KENDALL COUNTY,MEADOWLAND CHARTER DISTRICT,48259,130801,13.78,37.94,123.0,11.35,23.0,82.0
BANDERA COUNTY,MEDINA ISD,48019,10901,30.03,72.22,306.0,33.45,73.75,274.0
MEDINA COUNTY,MEDINA VALLEY ISD,48325,163908,332.13,732.05,5455.0,388.16,820.2,6134.0
COLLIN COUNTY,MELISSA ISD,48085,43908,190.68,342.97,3163.0,256.24,448.2,4104.0
HALL COUNTY,MEMPHIS ISD,48191,96904,43.37,107.59,488.0,43.87,110.34,443.0
MENARD COUNTY,MENARD ISD,48327,164901,28.0,61.83,305.0,27.0,63.0,279.0
HIDALGO COUNTY,MERCEDES ISD,48215,108907,373.94,834.11,5275.0,325.5,725.97,4681.0
BOSQUE COUNTY,MERIDIAN ISD,48035,18902,49.98,107.62,477.0,44.27,94.7,418.0
WILLIAMSON COUNTY,MERIDIAN WORLD SCHOOL LLC,48491,246801,107.41,187.79,1648.0,110.06,203.68,1682.0
TAYLOR COUNTY,MERKEL ISD,48441,221904,97.86,180.66,1140.0,100.31,179.51,1097.0
DALLAS COUNTY,MESQUITE ISD,48113,57914,2632.48,5215.05,40379.0,2629.14,5319.98,38527.0
LIMESTONE COUNTY,MEXIA ISD,48293,147903,146.6,323.81,1892.0,151.99,330.66,1844.0
HARRIS COUNTY,MEYERPARK ELEMENTARY,48201,101855,16.18,30.79,278.0,16.63,29.95,260.0
DEWITT COUNTY,MEYERSVILLE ISD,48123,62906,9.05,16.62,132.0,11.64,24.03,166.0
ROBERTS COUNTY,MIAMI ISD,48393,197902,22.19,36.1,219.0,22.08,39.69,195.0
MIDLAND COUNTY,MIDLAND ACADEMY CHARTER SCHOOL,48329,165802,28.72,47.51,423.0,29.0,44.96,370.0
MIDLAND COUNTY,MIDLAND ISD,48329,165901,1568.65,2731.77,26183.0,1661.17,3012.56,25579.0
ELLIS COUNTY,MIDLOTHIAN ISD,48139,70908,575.57,1070.2,9389.0,614.21,1186.08,9838.0
CLAY COUNTY,MIDWAY ISD,48077,39905,16.13,28.62,132.0,17.76,30.8,132.0
MILAM COUNTY,MILANO ISD,48331,166903,42.98,78.26,465.0,39.89,76.64,396.0
NAVARRO COUNTY,MILDRED ISD,48349,175910,58.68,104.93,734.0,56.29,109.35,755.0
RUNNELS COUNTY,MILES ISD,48399,200902,41.86,75.23,435.0,40.81,76.99,468.0
ELLIS COUNTY,MILFORD ISD,48139,70909,23.34,44.18,266.0,24.58,44.63,245.0
HOPKINS COUNTY,MILLER GROVE ISD,48223,112907,29.07,46.93,334.0,30.08,51.0,306.0
PARKER COUNTY,MILLSAP ISD,48367,184904,77.04,148.54,1018.0,83.46,163.24,1029.0
WOOD COUNTY,MINEOLA ISD,48499,250903,131.76,258.02,1637.0,139.36,276.55,1591.0
PALO PINTO COUNTY,MINERAL WELLS ISD,48363,182903,227.69,484.4,3281.0,232.35,496.24,3116.0
HIDALGO COUNTY,MISSION CISD,48215,108908,1009.44,2251.24,15588.0,976.84,2213.47,15044.0
WARD COUNTY,MONAHANS-WICKETT-PYOTE ISD,48475,238902,134.85,318.72,2410.0,148.32,349.08,2103.0
MONTAGUE COUNTY,MONTAGUE ISD,48337,169908,11.91,19.83,166.0,12.43,22.2,151.0
HIDALGO COUNTY,MONTE ALTO ISD,48215,108915,61.4,136.07,947.0,65.82,135.56,891.0
TRAVIS COUNTY,MONTESSORI FOR ALL,48453,227826,22.43,61.57,457.0,26.74,60.48,479.0
MONTGOMERY COUNTY,MONTGOMERY ISD,48339,170903,587.57,1058.11,8857.0,594.82,1049.46,8920.0
MARION COUNTY,MOODY ISD,48309,161910,59.71,103.6,696.0,61.9,113.54,666.0
SHACKELFORD COUNTY,MORAN ISD,48417,209902,17.45,26.01,111.0,13.26,24.07,118.0
BOSQUE COUNTY,MORGAN ISD,48035,18903,13.51,24.95,129.0,15.34,26.74,136.0
ERATH COUNTY,MORGAN MILL ISD,48143,72910,13.1,19.12,123.0,11.32,18.67,129.0
COCHRAN COUNTY,MORTON ISD,48079,40901,39.08,81.06,394.0,38.44,77.01,374.0
MOTLEY COUNTY,MOTLEY COUNTY ISD,48345,173901,16.54,39.41,162.0,16.19,40.89,167.0
LAVACA COUNTY,MOULTON ISD,48285,143902,28.11,49.79,279.0,26.92,47.81,286.0
HILL COUNTY,MOUNT CALM ISD,48217,109910,17.57,35.41,197.0,18.46,35.07,184.0
RUSK COUNTY,MOUNT ENTERPRISE ISD,48401,201907,39.55,62.97,414.0,39.89,69.98,403.0
TITUS COUNTY,MOUNT PLEASANT ISD,48449,225902,403.77,858.88,5394.0,406.34,832.97,5306.0
FRANKLIN COUNTY,MOUNT VERNON ISD,48159,80901,123.12,228.69,1621.0,121.42,230.01,1478.0
COOKE COUNTY,MUENSTER ISD,48097,49902,40.36,65.0,514.0,43.6,68.49,524.0
BAILEY COUNTY,MULESHOE ISD,48017,9901,115.57,223.52,1417.0,113.54,219.96,1337.0
MILLS COUNTY,MULLIN ISD,48333,167902,35.74,82.32,340.0,33.63,72.41,217.0
ROBERTSON COUNTY,MUMFORD ISD,48395,198906,37.99,70.66,612.0,39.99,72.81,615.0
KNOX COUNTY,MUNDAY CISD,48275,138903,35.99,75.16,392.0,41.44,76.36,396.0
HENDERSON COUNTY,MURCHISON ISD,48213,107908,16.19,28.17,180.0,16.57,32.7,168.0
NACOGDOCHES COUNTY,NACOGDOCHES ISD,48347,174904,422.48,994.45,6249.0,453.96,1013.58,5940.0
MEDINA COUNTY,NATALIA ISD,48325,163903,76.85,165.64,1080.0,79.99,179.65,1024.0
GUADALUPE COUNTY,NAVARRO ISD,48187,94903,128.52,245.58,1943.0,133.44,255.58,1849.0
GRIMES COUNTY,NAVASOTA ISD,48185,93904,236.49,401.41,3043.0,251.99,443.27,2847.0
CASTRO COUNTY,NAZARETH ISD,48069,35903,21.55,32.24,253.0,19.7,35.99,250.0
ANDERSON COUNTY,NECHES ISD,48001,1906,33.48,63.92,366.0,35.48,65.4,339.0
JEFFERSON COUNTY,NEDERLAND ISD,48245,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
FORT BEND COUNTY,NEEDVILLE ISD,48157,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
BOWIE COUNTY,NEW BOSTON ISD,48037,19905,119.25,237.83,1275.0,119.52,242.71,1174.0
COMAL COUNTY,NEW BRAUNFELS ISD,48091,46901,541.46,1150.69,9127.0,578.16,1131.23,9282.0
MONTGOMERY COUNTY,NEW CANEY ISD,48339,170908,1030.24,2102.33,15381.0,1050.05,2222.17,16274.0
LUBBOCK COUNTY,NEW DEAL ISD,48303,152902,58.45,106.02,786.0,58.14,105.44,754.0
UPSHUR COUNTY,NEW DIANA ISD,48459,230906,80.56,150.35,1118.0,92.59,168.34,1175.0
BEXAR COUNTY,NEW FRONTIERS PUBLIC SCHOOLS INC,48029,15805,45.3,83.04,663.0,39.98,72.85,485.0
LYNN COUNTY,NEW HOME ISD,48305,153905,39.95,65.63,479.0,47.0,74.88,575.0
CHEROKEE COUNTY,NEW SUMMERFIELD ISD,48073,37908,46.13,98.74,544.0,45.73,100.76,529.0
WALKER COUNTY,NEW WAVERLY ISD,48471,236901,83.7,152.12,1030.0,82.67,154.57,1038.0
YOUNG COUNTY,NEWCASTLE ISD,48503,252902,19.49,37.61,206.0,21.9,39.33,210.0
TARRANT COUNTY,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,48439,220817,255.87,393.6,3005.0,270.44,430.56,3059.0
NEWTON COUNTY,NEWTON ISD,48351,176902,91.55,192.65,1041.0,91.62,189.68,969.0
GONZALES COUNTY,NIXON-SMILEY CISD,48177,89903,84.14,193.0,1074.0,88.14,209.33,1015.0
MONTAGUE COUNTY,NOCONA ISD,48337,169902,70.29,140.02,774.0,74.11,150.0,805.0
DEWITT COUNTY,NORDHEIM ISD,48123,62902,16.93,27.63,149.0,16.6,28.55,144.0
LEON COUNTY,NORMANGEE ISD,48289,145906,46.3,91.05,605.0,50.13,99.35,595.0
BEXAR COUNTY,NORTH EAST ISD,48029,15910,4174.47,8387.25,65186.0,4224.64,8516.79,60483.0
HOPKINS COUNTY,NORTH HOPKINS ISD,48223,112906,43.91,86.0,512.0,46.85,93.3,555.0
LAMAR COUNTY,NORTH LAMAR ISD,48277,139911,219.64,451.73,2456.0,208.25,439.25,2361.0
DENTON COUNTY,NORTH TEXAS COLLEGIATE ACADEMY,48121,61802,41.26,58.04,556.0,46.21,63.79,633.0
MASON COUNTY,NORTH ZULCH ISD,48313,154903,31.44,58.97,339.0,30.1,53.65,300.0
BEXAR COUNTY,NORTHSIDE ISD,48029,15915,6962.33,13498.61,106501.0,6844.94,13307.78,103151.0
DENTON COUNTY,NORTHWEST ISD,48121,61911,1598.11,2506.73,24141.0,1728.82,2701.93,25383.0
DALLAS COUNTY,NOVA ACADEMY,48113,57809,7.99,19.35,135.0,9.9,18.96,122.0
DALLAS COUNTY,NOVA ACADEMY SOUTHEAST,48113,57827,36.76,75.88,616.0,41.68,72.79,613.0
EDWARDS COUNTY,NUECES CANYON CISD,48137,69902,29.69,53.95,280.0,26.68,52.65,260.0
VICTORIA COUNTY,NURSERY ISD,48469,235904,8.5,15.85,132.0,14.0,24.9,141.0
TRAVIS COUNTY,NYOS CHARTER SCHOOL,48453,227804,83.22,113.3,1017.0,91.86,142.31,1077.0
LYNN COUNTY,O'DONNELL ISD,48305,153903,33.02,60.66,309.0,36.04,64.01,298.0
LEON COUNTY,OAKWOOD ISD,48289,145907,20.19,37.77,199.0,20.91,43.4,192.0
SAN PATRICIO COUNTY,ODEM-EDROY ISD,48409,205905,64.67,148.69,905.0,73.61,157.91,846.0
GALVESTON COUNTY,ODYSSEY ACADEMY INC,48167,84802,68.32,143.65,1197.0,92.82,193.39,1397.0
CORYELL COUNTY,OGLESBY ISD,48099,50904,18.96,30.35,169.0,19.61,34.38,185.0
RUNNELS COUNTY,OLFEN ISD,48399,200906,10.28,18.67,104.0,14.84,25.25,142.0
YOUNG COUNTY,OLNEY ISD,48503,252903,72.26,137.52,677.0,75.62,140.41,707.0
LAMB COUNTY,OLTON ISD,48279,140905,55.9,111.33,591.0,54.56,108.9,596.0
POLK COUNTY,ONALASKA ISD,48373,187910,78.41,172.39,1119.0,87.44,182.39,1180.0
JIM WELLS COUNTY,ORANGE GROVE ISD,48249,125903,115.58,254.55,1820.0,121.99,246.31,1714.0
ORANGE COUNTY,ORANGEFIELD ISD,48361,181905,126.83,238.93,1848.0,132.33,255.81,1791.0
UPSHUR COUNTY,ORE CITY ISD,48459,230903,76.43,152.89,956.0,80.68,159.43,928.0
WILLIAMSON COUNTY,ORENDA CHARTER SCHOOL,48491,14804,101.99,160.52,1720.0,108.72,176.42,1848.0
RUSK COUNTY,OVERTON ISD,48401,201908,47.94,92.71,502.0,49.07,93.88,477.0
COTTLE COUNTY,PADUCAH ISD,48101,51901,22.4,40.01,204.0,20.49,37.31,183.0
HASKELL COUNTY,PAINT CREEK ISD,48207,104907,16.38,30.72,118.0,16.24,29.62,91.0
CONCHO COUNTY,PAINT ROCK ISD,48095,48903,23.5,41.95,243.0,23.61,43.4,237.0
MCLENNAN COUNTY,PALACIOS ISD,48321,158905,104.08,213.57,1428.0,96.86,202.21,1316.0
ANDERSON COUNTY,PALESTINE ISD,48001,1907,254.3,491.72,3393.0,261.55,545.79,3400.0
ELLIS COUNTY,PALMER ISD,48139,70910,87.02,176.18,1226.0,88.99,179.07,1246.0
PALO PINTO COUNTY,PALO PINTO ISD,48363,182906,9.73,19.27,95.0,10.71,17.89,84.0
GRAY COUNTY,PAMPA ISD,48179,90904,230.06,496.72,3541.0,235.36,514.8,3506.0
CARSON COUNTY,PANHANDLE ISD,48065,33902,58.16,111.33,702.0,58.21,110.65,669.0
PANOLA COUNTY,PANOLA CHARTER SCHOOL,48365,183801,4.3,14.85,143.0,6.0,17.25,191.0
COLEMAN COUNTY,PANTHER CREEK CISD,48083,42905,17.61,31.26,150.0,18.11,32.83,156.0
WISE COUNTY,PARADISE ISD,48497,249906,96.84,161.95,1240.0,97.39,164.18,1216.0
LAMAR COUNTY,PARIS ISD,48277,139909,311.88,597.55,3813.0,316.78,601.75,3857.0
HARRIS COUNTY,PASADENA ISD,48201,101917,3822.19,8294.24,53291.0,3752.34,8324.23,50614.0
DICKENS COUNTY,PATTON SPRINGS ISD,48125,63906,11.43,30.16,97.0,10.17,30.46,90.0
BEE COUNTY,PAWNEE ISD,48025,13902,19.79,51.32,318.0,22.95,70.87,315.0
BRAZORIA COUNTY,PEARLAND ISD,48039,20908,1306.75,2555.41,21606.0,1317.93,2581.3,21067.0
FRIO COUNTY,PEARSALL ISD,48163,82903,147.49,344.77,2144.0,142.3,344.63,2025.0
PARKER COUNTY,PEASTER ISD,48367,184908,116.29,196.79,1228.0,112.02,207.6,1382.0
REEVES COUNTY,PECOS-BARSTOW-TOYAH ISD,48389,195901,176.66,388.79,2797.0,194.05,413.04,2697.0
DALLAS COUNTY,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,48113,57802,38.47,65.59,676.0,30.98,56.15,506.0
HILL COUNTY,PENELOPE ISD,48217,109914,20.45,45.46,201.0,20.02,42.28,211.0
JACK COUNTY,PERRIN-WHITT CISD,48237,119903,28.87,53.85,334.0,31.29,55.83,316.0
