District #,Grade,Subject,Group,District,County #,County,% Operational Schools 2019,% Operational Schools 2021,% County Infected 09/28/20,% County Deaths 09/28/20,% On Campus 09/28/20,% County Infected 10/30/20,% County Deaths 10/30/20,% On Campus 10/30/20,% County Infected 01/29/21,% County Deaths 01/29/21,% On Campus 01/29/21,% Average Daily Attendance 2019,% Average Daily Attendance 2021,Teachers:Students 2019,Teachers:Students 2021,% School-Wide Title 1 2019,% School-Wide Title 1 2021,% Title 1 Eligible 2019,% Title 1 Eligible 2021,% Not Title 1 2019,% Grade 2019,% Group 2019,% Tested 2019,% Grade 2021,% Group 2021,% Tested 2021,% Loss
227909.0,6,Math,Free Lunch,EANES ISD,48453.0,TRAVIS COUNTY,0.9166666666666666,,0.022961582600313668,0.00034302651430114433,0.4745933677972513,0.02507390376732598,0.000360295583670996,0.573474001507159,0.053036451865608965,0.0006405254820817706,0.36063936063936064,0.9514473684210526,,0.0737444663059518,,0.0,,0.0,,12.0,0.08116084604033448,0.00012297097884899163,0.004273504273504274,,,0.0,
227816.0,6,Math,Free Lunch,HARMONY PUBLIC SCHOOLS - CENTRAL T,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.06354810238305383,0.02507390376732598,0.000360295583670996,0.14418398938522778,0.053036451865608965,0.0006405254820817706,0.1578125,0.9220347826086956,,0.06565465838509317,,0.14285714285714285,,0.14285714285714285,,6.0,0.0968944099378882,0.05391304347826087,0.5755968169761273,,,0.40625,0.04820734584771577
227912.0,6,Math,Free Lunch,LAGO VISTA ISD,48453.0,TRAVIS COUNTY,0.8,,0.022961582600313668,0.00034302651430114433,0.5562539283469516,0.02507390376732598,0.000360295583670996,0.6594427244582043,0.053036451865608965,0.0006405254820817706,0.6820987654320988,0.9140392156862746,,0.06103921568627451,,0.0,,0.2,,4.0,0.08758169934640522,0.02091503267973856,0.23529411764705882,,,0.2616822429906542,0.04902225732927521
227913.0,6,Math,Free Lunch,LAKE TRAVIS ISD,48453.0,TRAVIS COUNTY,0.75,,0.022961582600313668,0.00034302651430114433,0.6439055520102106,0.02507390376732598,0.000360295583670996,0.6426560087201381,0.053036451865608965,0.0006405254820817706,0.6982805429864254,0.9132985658409387,,0.05611473272490221,,0.0,,0.0,,12.0,0.08223132799403986,0.0,0.0,,,0.001310615989515072,
227907.0,6,Math,Free Lunch,MANOR ISD,48453.0,TRAVIS COUNTY,0.9411764705882353,,0.022961582600313668,0.00034302651430114433,0.0028239383078092757,0.02507390376732598,0.000360295583670996,0.38876936316695354,0.053036451865608965,0.0006405254820817706,0.3410727722240138,0.8732114551410759,,0.06618091514318926,,0.058823529411764705,,0.058823529411764705,,16.0,0.07915037514530276,0.04723660572757054,0.6131687242798354,,,0.6481994459833795,0.015506915876087093
227804.0,6,Math,Free Lunch,NYOS CHARTER SCHOOL,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.017757009345794394,0.02507390376732598,0.000360295583670996,0.21985157699443414,0.053036451865608965,0.0006405254820817706,0.25812441968430827,0.9024090462143559,,0.08182890855457227,,0.5,,0.5,,1.0,0.07866273352999016,0.012782694198623401,0.1625,,,0.2857142857142857,-0.04403994190558126
227904.0,6,Math,Free Lunch,PFLUGERVILLE ISD,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.25811425182842457,0.02507390376732598,0.000360295583670996,0.4274588078744472,0.053036451865608965,0.0006405254820817706,0.49192410224243377,0.931248966738831,,0.07161031293052549,,0.0,,0.0,,32.0,0.07526077543790592,0.03211966148395985,0.4319745897300159,,,0.39338494018296977,0.018481479932297623
227824.0,6,Math,Free Lunch,PROMESA PUBLIC SCHOOLS,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.0,0.02507390376732598,0.000360295583670996,0.25832492431886983,0.053036451865608965,0.0006405254820817706,0.470917225950783,0.5708486017357763,,0.0623625843780135,,0.0,,0.0,,4.0,0.05303760848601736,0.037608486017357765,0.75,,,0.8636363636363636,-0.024175635015704456
227803.0,6,Math,Free Lunch,WAYSIDE SCHOOLS,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.19834710743801653,0.02507390376732598,0.000360295583670996,0.3563034188034188,0.053036451865608965,0.0006405254820817706,0.4090909090909091,0.8603054892601432,,0.07497852028639619,,0.25,,0.25,,3.0,0.07159904534606205,0.023389021479713605,0.34265734265734266,,,0.8235294117647058,0.010283026108525033
227825.0,6,Reading,Hispanic,AUSTIN ACHIEVE PUBLIC SCHOOLS,48453.0,TRAVIS COUNTY,1.0,,0.022961582600313668,0.00034302651430114433,0.0023062730627306273,0.02507390376732598,0.000360295583670996,0.17348837209302326,0.053036451865608965,0.0006405254820817706,0.3526413345690454,0.4975064267352185,,0.06287275064267352,,0.5,,0.5,,1.0,0.10796915167095116,0.10089974293059126,0.9515151515151515,,,0.9324324324324325,0.01844892403763616
